rank,train_id,train_name,criterion_code,criterion_name,raw_value,normalized_value,weight,weighted_value,data_status
5,2,UASB-based STP,C6,hydrologic_fit,1.0,0.35355339059327373,0.057252942747057244,0.020241972029664667,known
5,2,UASB-based STP,C7,footprint,3.05,0.9489998108082727,0.1157058842941157,0.10980486230451969,known
5,2,UASB-based STP,C8,om,0.275,0.6890940264167824,0.13655686344313656,0.09410051886487769,known
6,6,French VF (no primary),C1,treatment_fit,1.0,0.35355339059327373,0.24026175973824024,0.08494535978536134,known
6,6,French VF (no primary),C2,standard_fit,1.0,0.38313051408846055,0.24026175973824024,0.09205161152431017,known
6,6,French VF (no primary),C3,site_fit,1.0,0.3779644730092272,0.09425490574509425,0.03562500577847893,known
6,6,French VF (no primary),C4,source_fit,0.5,0.37555788309433985,0.1157058842941157,0.043454256967056716,known
6,6,French VF (no primary),C6,hydrologic_fit,1.0,0.35355339059327373,0.057252942747057244,0.020241972029664667,known
6,6,French VF (no primary),C7,footprint,5.0,0.9163931324725783,0.1157058842941157,0.10603207775379438,known
6,6,French VF (no primary),C8,om,0.6,0.3216596940002525,0.13655686344313656,0.04392483890875357,known
7,8,Pond + sewage-fed aquaculture,C1,treatment_fit,1.0,0.35355339059327373,0.24026175973824024,0.08494535978536134,known
7,8,Pond + sewage-fed aquaculture,C2,standard_fit,1.0,0.38313051408846055,0.24026175973824024,0.09205161152431017,known
7,8,Pond + sewage-fed aquaculture,C3,site_fit,1.0,0.3779644730092272,0.09425490574509425,0.03562500577847893,known
7,8,Pond + sewage-fed aquaculture,C4,source_fit,0.5,0.37555788309433985,0.1157058842941157,0.043454256967056716,known
7,8,Pond + sewage-fed aquaculture,C6,hydrologic_fit,1.0,0.35355339059327373,0.057252942747057244,0.020241972029664667,known
7,8,Pond + sewage-fed aquaculture,C7,footprint,54.0,0.09704583070384465,0.1157058842941157,0.01122877365864539,known
7,8,Pond + sewage-fed aquaculture,C8,om,0.275,0.6890940264167824,0.13655686344313656,0.09410051886487769,known
8,7,On-site disposal,C1,treatment_fit,,0.35355339059327373,0.24026175973824024,0.08494535978536134,unknown_median_imputed
8,7,On-site disposal,C2,standard_fit,,0.38313051408846055,0.24026175973824024,0.09205161152431017,unknown_median_imputed
8,7,On-site disposal,C3,site_fit,0.0,0.0,0.09425490574509425,0.0,known
8,7,On-site disposal,C4,source_fit,0.15,0.11266736492830194,0.1157058842941157,0.013036277090117013,known
8,7,On-site disposal,C6,hydrologic_fit,1.0,0.35355339059327373,0.057252942747057244,0.020241972029664667,known
8,7,On-site disposal,C7,footprint,,0.8277698528935111,0.1157058842941157,0.09577784282105377,unknown_median_imputed
8,7,On-site disposal,C8,om,0.2,0.7738865646667508,0.13655686344313656,0.10567952193167555,known
